Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1;Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;2000;20;19;1596;17.Tem;1;Oca.53;0.28;18.May;0.04;0.2;19;0.11;0;0;23.Þub;31;74.9;293;85.7;13.Mar;16.Þub;81.9;May.93;Tem.74;76.6;0.9;Þub.37;38.1;0.11;Oca.75;Oca.75;0.45;0.11;Mar.22;31;28.Oca;Þub.88;0.96;0.17;0;Þub.54;0.23;Oca.47;0.68;0.62;0.06;23.Þub;0;0.85;Mar.62;Þub.37;0.56;0.23;0.11;0.28;0.06;0.28;0.17;0;0;0.06;0;0.06;Oca.64;0.51;0.45;0.9;0.28;0.51;Oca.47;34.6;0.96;Oca.69;0.11;Oca.58;0.06;Oca.69;0.28;0.06;44;0.4;Nis.35;19;21.May;Þub.49;44;Mar.73;Oca.19;31.Aðu;Oca.75;47;26.Tem;136.1;56.6;Oca.53;1.Tem;0.4;2.Haz;3.Kas;30.2;May.65;0.11;0;0;0.62;Þub.26;0.17;Þub.54;0.51;0;0;0;Nis.86;0.34;Oca.19;22.Þub
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;1987;22;22;1980;22;0;0.86;0.05;5.Mar;0;0;13.May;0;0;0;38.5;47.2;81.5;751.5;318.5;10.Eyl;12.Eyl;84.5;23.Þub;25.Tem;90.1;Mar.77;7;53.9;0.05;0.27;Þub.91;0.09;0;4.May;47.2;43.3;Mar.73;Mar.32;0;0.55;0.18;0.09;0;0;0;0;38.5;0.23;0.59;Oca.14;0.86;0;0;0.18;0;0.09;0.18;0.14;0;0;0.05;0;0;2.May;Oca.59;Oca.45;1;0.05;Oca.32;Oca.68;78.4;0.36;Þub.23;0.77;Oca.45;2;4.May;Þub.91;0.05;59.2;Haz.23;27.May;29.May;Þub.73;1.Eyl;59.2;0.68;0.32;46.7;0.36;53.3;40;234.2;125;0.55;0.23;0.09;0.73;0.68;34.5;0.23;0.09;0;0;Oca.32;0.5;0.05;0.18;Oca.59;0;0;0;Haz.64;Þub.18;Oca.23;64
3;Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;1999;14;8;770;8.Haz;0;1.May;0.35;33.3;0;0;19.Þub;0;0;0;40;49.5;80.8;676;188.1;18.May;22;84.1;15.May;18.Tem;82.6;Nis.42;May.93;74.5;0;Oca.51;Mar.95;Oca.74;0.35;6.Nis;49.5;48.1;Oca.16;0.35;0.12;0.23;1.May;0.81;0;0;0;0;40;0.23;Oca.16;Þub.67;Þub.44;0;0;0.12;0;0.12;0;0;0;0;0;0;0;Þub.91;1.Nis;Oca.28;1.Nis;0.23;Oca.63;Þub.67;60.9;1.May;Oca.51;0.12;1.Nis;0.93;Mar.84;0.93;0;62.6;0.93;11.Nis;36;17.Nis;Oca.16;62.6;Mar.84;2.Eyl;54.5;Oca.51;39.4;48.5;298.5;151;Þub.56;Þub.56;0.47;2.Eyl;1.May;43.4;May.93;0.12;0;0;Oca.74;Oca.28;0;1.May;1.Nis;0;0;0;Aðu.14;0.93;1.May;47.1
4;Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;2000;20;20;1799;20;1;0.6;0.15;25;0.08;0.33;20.Mar;0;0;0;59.5;64.9;91.6;946.3;226.9;29.Haz;31.Aðu;93.2;24.Tem;26.Þub;94.3;Mar.35;4.Mar;77.9;0;0.5;6;0.55;0.1;5.Haz;64.9;63.1;1.Nis;1.Mar;0.05;0.2;0.35;0.1;0;0;0;0;59.5;0.35;0.4;1.Haz;Oca.35;0;0.1;0.1;0;0.05;0;0;0;0;0;0;0;1.May;0.8;0.55;0.85;0.1;0.85;1.Mar;65.4;0.45;1.Mar;0.35;0.95;1.Oca;2.Haz;0.8;0;73.3;2.Oca;12;49.6;12.Þub;0.7;73.3;Oca.25;0.7;56;0.4;32;61;316.9;117.5;Oca.25;Oca.95;0.15;Oca.35;1.Mar;56.5;1.Tem;0.15;0;0;Þub.45;Oca.35;0;0.35;0.8;0;0;0.05;6.Haz;0.5;0.5;50
5;Laurent Abergel;FRA;MF;Lorient;Ligue 1;30;1993;15;15;1165;12.Eyl;0;0.31;0;0;0;0;23.Eyl;0;0;0;37.9;43.4;87.3;613.6;224.7;17.Eyl;19.Nis;92.4;15.Tem;17.Aðu;88.6;Þub.64;Mar.95;66.7;0.08;0.62;Mar.88;0.39;0;5.Nis;43.4;42.6;0.78;0.78;0.39;0.16;0.23;0;0;0;0;0;37.9;0.08;0.31;Oca.24;1.Oca;0.08;0;0.08;0;0.08;0.08;0.08;0;0;0;0;0;3.Aðu;2.Þub;Þub.64;Oca.16;0;Oca.32;Mar.26;40.5;Oca.94;1.Nis;0.23;Oca.16;Oca.16;Nis.96;Oca.55;0;54.7;Mar.26;19.Þub;31.4;Nis.88;0.23;54.7;0.93;0.54;58.3;0.31;33.3;41;174.3;72.7;0.47;0.93;0;Oca.32;0.78;36.4;0.47;0.16;0;0;0.93;1.Oca;0;0.23;2.Þub;0;0;0;Haz.51;0.31;0.39;44.4
6;Oliver Abildgaard;DEN;MF;Hellas Verona;Serie A;26;1996;1;0;11;0.1;0;0;0;0;0;0;0;0;0;0;20;30;66.7;310;90;10;10;100;10;10;100;0;10;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;10;0;0;0;0;0;0;0;0;10;0;0;50;0;20;20;10;0;50;0;0;0;0;0;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;10;0;0;0;10;0;10;0
7;Matthis Abline;FRA;FWMF;Auxerre;Ligue 1;19;2003;5;2;185;2.Oca;1;Nis.29;Oca.43;33.3;0.11;0.33;20.Nis;0;0;0;Tem.14;10;71.4;139.5;40;Oca.43;Þub.38;60;Nis.76;May.24;90.9;0.48;0.95;50;0;0;0.48;Oca.43;0.48;1.Eyl;10;9.May;0.95;0;0;0;0.95;0;0;0;0;0;Tem.14;0;0.48;0.48;0.48;0;0;0;0;0;0;0;0;0;0;0;0;Oca.43;0.48;0;0.95;0.48;0;0.95;0;0.95;0.48;0;0.48;0.48;1.Eyl;0.48;0;25.Tem;0.48;Oca.43;11.Nis;12.Eyl;Haz.67;25.Tem;Oca.43;0.48;33.3;0.95;66.7;17.Oca;97.1;10.May;Oca.43;0;0.95;Tem.62;Mar.33;19;Haz.67;0;0;0;0.95;Oca.43;0.48;0.95;0.48;0;0;0;0.48;Oca.43;Oca.43;50
8;Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;2003;11;0;107;1.Þub;1;5;Oca.67;33.3;0.17;0.5;12.Þub;0;0;0;May.83;12.May;46.7;107.5;25;2.May;5;50;2.May;Mar.33;75;0.83;0.83;100;0;Oca.67;0.83;0.83;0;Oca.67;12.May;12.May;0;0;0.83;0;Oca.67;0;0;0;0;0;May.83;0;0.83;May.83;Oca.67;0;0;2.May;0.83;0.83;Oca.67;0;0;0;0;0.83;0.83;0.83;0.83;0;0;0.83;0.83;0.83;100;0;0.83;0;0.83;Oca.67;2.May;0.83;0;30.Aðu;0.83;0.83;12.May;18.Mar;12.May;30.Aðu;0;0;0;0;0;22.May;145;87.5;Mar.33;0.83;Oca.67;Aðu.33;0.83;22.May;Eyl.17;0;0;0;2.May;Nis.17;0.83;Oca.67;0.83;0.83;0;0;Oca.67;0.83;Mar.33;20
9;Abner;BRA;DF;Betis;La Liga;22;2000;4;3;272;3;0;0.67;0.33;50;0;0;7.Aðu;0;0;0;39;54.3;71.8;590;265.3;20.Tem;23.Mar;88.6;13.Mar;20;66.7;Þub.33;May.67;41.2;0;0;3;0.33;0;Mar.33;54.3;42.3;11.Tem;0.33;0;0.67;Oca.33;11.Mar;0;0;0;0;39;0.33;Þub.33;1;0.67;0;0.33;0;0;0;0.33;0.33;0;0;0;0;0;Þub.67;Þub.33;Þub.33;0.33;0;2;Þub.33;85.7;0.33;Oca.33;0.67;0.67;2;Nis.67;Þub.67;0;65.7;Nis.67;20.Tem;30.Tem;15;Oca.67;65.7;Oca.33;0.33;25;1;75;30.Mar;112.7;67.3;0.67;0.67;0.33;1;0.67;35;Mar.67;0;0;0;0.67;0.67;0;Oca.33;Þub.33;0;0;0;6;1;2;33.3
10;Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;2000;22;17;1507;16.Tem;5;Þub.75;1.Þub;37;0.11;0.29;18.Oca;0;0;0;17.Haz;25.Mar;69.7;219.5;49.6;11.Tem;14.Eyl;79;Nis.43;Haz.17;71.8;0.24;0.84;28.Haz;0.24;0.54;0.78;0.42;0.06;1.Aðu;25.Mar;24.Mar;0.84;0.06;0.06;0;0.96;0.78;0;0;0;0;17.Haz;0.18;Oca.56;Þub.34;Oca.32;0;0.18;0.36;0.42;0.06;0.24;0.12;0;0.06;0;0.06;0;Oca.14;0.72;0.54;0.3;0.3;0.3;Oca.32;22.Tem;1.Þub;0.54;0.06;0.48;0.84;Oca.98;0.66;0;38;0.96;May.45;14.Haz;18.Tem;Nis.97;38;Mar.17;1.Þub;32.1;Oca.86;58.5;28.Haz;177.7;74.7;3.May;1.Aðu;Oca.14;Þub.57;0.96;27.Oca;Eyl.52;0.18;0;0;Oca.56;1.Aðu;0.72;0.96;0.72;0;0;0;Nis.43;0.42;Oca.32;24.Oca
